User: NEW USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\NEW USER\Data\,,
Test ID: 344,,
Test Name: Luka_Na_Fluorescein,,
Date: 17/03/2024,,
Time: 1:23:50 PM,,
ID1: Plate 1,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (490-8/520-8)
A01,Sample X1,131734
A02,Sample X2,129582
A03,Sample X3,128921
A04,Sample X4,119575
A05,Sample X5,119477
A06,Sample X6,117713
A07,Sample X7,94743
A08,Sample X8,91386
A09,Sample X9,91201
A10,Sample X10,96619
A11,Sample X11,95027
A12,Sample X12,95261
B01,Sample X13,96918
B02,Sample X14,97382
B03,Sample X15,97903
B04,Sample X16,115198
B05,Sample X17,113042
B06,Sample X18,112396
B07,Sample X19,104172
B08,Sample X20,102532
B09,Sample X21,98680
B10,Sample X22,118182
B11,Sample X23,116403
B12,Sample X24,113714
C01,Sample X25,106311
C02,Sample X26,103145
C03,Sample X27,104442
C04,Sample X28,126779
C05,Sample X29,125284
C06,Sample X30,121707
C07,Sample X31,106453
C08,Sample X32,108345
C09,Sample X33,106563
C10,Sample X34,116412
C11,Sample X35,114961
C12,Sample X36,112222
D01,Sample X37,105296
D02,Sample X38,105151
D03,Sample X39,103534
D04,Sample X40,117051
D05,Sample X41,115508
D06,Sample X42,115978
D07,Sample X43,100467
D08,Sample X44,100071
D09,Sample X45,99731
D10,Sample X46,99813
D11,Sample X47,98644
D12,Sample X48,97404
E01,Sample X49,102452
E02,Sample X50,98589
E03,Sample X51,98580
E04,Sample X52,103468
E05,Sample X53,104198
E06,Sample X54,101801
E07,Sample X55,100155
E08,Sample X56,98301
E09,Sample X57,96691
E10,Sample X58,107698
E11,Sample X59,108019
E12,Sample X60,104898
F01,Sample X61,125871
F02,Sample X62,124151
F03,Sample X63,124697
F04,Sample X64,95727
F05,Sample X65,94549
F06,Sample X66,92316
F07,Sample X67,129726
F08,Sample X68,127497
F09,Sample X69,126847
F10,Sample X70,122124
F11,Sample X71,120236
F12,Sample X72,118752
G01,Sample X73,120674
G02,Sample X74,119214
G03,Sample X75,121674
G04,Sample X76,118171
G05,Sample X77,113730
G06,Sample X78,113267
G07,Sample X79,105195
G08,Sample X80,102738
G09,Sample X81,103402
G10,Sample X82,116915
G11,Sample X83,114648
G12,Sample X84,115975
H01,Sample X85,120503
H02,Sample X86,115942
H03,Sample X87,118036
H04,Sample X88,99750
H05,Sample X89,98669
H06,Sample X90,98874
H07,Sample X91,163
H08,Sample X92,11465
H09,Sample X93,22433
H10,Sample X94,57883
H11,Sample X95,116048
H12,Sample X96,233835
