ID,Mass
L_1_1_1,57.96388
L_1_1_2,56.97556
L_1_1_3,61.34992
L_1_1_4,67.3875
L_1_1_5,63.97302
L_1_1_6,70.38422
L_1_1_7,69.9315
L_1_1_8,68.04666
L_1_1_9,68.21742
L_1_1_10,63.22758
L_1_2_1,62.61308
L_1_2_2,55.91822
L_1_2_3,61.56986
L_1_2_4,63.66646
L_1_2_5,66.24766
L_1_2_6,67.19498
L_1_2_7,73.26938
L_1_2_8,68.65572
L_1_2_9,68.77556
L_1_2_10,61.53942
L_2_1_1,51.70226
L_2_1_2,54.01659
L_2_1_3,59.20735
L_2_1_4,64.09822
L_2_1_5,61.63694
L_2_1_6,62.79376
L_2_1_7,67.31106
L_2_1_8,66.25424
L_2_1_9,73.30236
L_2_1_10,82.6594
L_2_1_11,75.46506
L_2_2_1,70.28022
L_2_2_2,57.26952
L_2_2_3,62.82778
L_2_2_4,60.40556
L_2_2_5,62.55196
L_2_2_6,72.06934
L_2_2_7,68.16484
L_2_2_8,63.71604
L_2_2_9,74.80716
L_2_2_10,80.28912
L_2_3_1,73.15416
L_2_3_2,61.3278
L_2_3_3,62.4738
L_2_3_4,64.68016
L_2_3_5,72.88166
L_2_3_6,69.5305
L_2_3_7,73.45784
L_2_3_8,70.63314
L_2_3_9,68.35714
L_2_3_10,27.37006
L_2_7_1,75.8025
L_2_7_2,67.42328
L_2_7_3,73.63286
L_2_7_4,70.9567
L_2_7_5,77.64912
L_2_7_6,82.01376
L_2_7_7,85.64332
L_2_7_8,79.348
L_2_7_9,84.04348
L_2_7_10,82.65434
L_2_7_11,63.38612
L_1_3_1,58.69574
L_1_3_2,49.53036
L_1_3_3,54.82466
L_1_3_4,60.50292
L_1_3_5,62.83822
L_1_3_6,67.02712
L_1_3_7,67.58156
L_1_3_8,70.71342
L_1_3_9,71.01768
L_1_3_10,58.78916
L_1_4_1,53.61411
L_1_4_2,51.58944
L_1_4_3,56.70544
L_1_4_4,66.21708
L_1_4_5,64.59918
L_1_4_6,65.86226
L_1_4_7,68.16602
L_1_4_8,77.56394
L_1_4_9,68.07918
L_1_4_10,74.04922
L_1_4_11,64.38812
L_2_4_1,46.35145
L_2_4_2,54.02693
L_2_4_3,59.19328
L_2_4_4,64.788
L_2_4_5,64.32042
L_2_4_6,68.31108
L_2_4_7,66.26552
L_2_4_8,73.16278
L_2_4_9,84.4588
L_2_4_10,70.98796
L_2_4_11,86.41586
L_2_5_1,66.74296
L_2_5_2,55.54129
L_2_5_3,62.3865
L_2_5_4,61.73832
L_2_5_5,67.68648
L_2_5_6,60.18074
L_2_5_7,72.3346
L_2_5_8,67.50368
L_2_5_9,81.12584
L_2_5_10,66.37938
L_2_6_1,43.72105
L_2_6_2,52.18836
L_2_6_3,58.62436
L_2_6_4,64.66604
L_2_6_5,63.9711
L_2_6_6,70.5618
L_2_6_7,66.72454
L_2_6_8,75.25898
L_2_6_9,76.69242
L_2_6_10,64.70398
L_2_6_11,28.5748
L_2_8_1,38.00113
L_2_8_2,69.63736
L_2_8_3,69.29716
L_2_8_4,73.1798
L_2_8_5,76.79746
L_2_8_6,89.20642
L_2_8_7,62.92832
L_2_8_8,81.4357
L_2_8_9,75.311
L_2_8_10,86.95368
L_2_8_11,190.6667
L_1_5_1,27.71619
L_1_5_2,49.14559
L_1_5_3,56.65553
L_1_5_4,59.19046
L_1_5_5,65.81774
L_1_5_6,64.83954
L_1_5_7,65.2313
L_1_5_8,67.21892
L_1_5_9,75.12572
L_1_5_10,78.50186
L_1_5_11,76.10968
L_1_6_1,46.96442
L_1_6_2,50.00144
L_1_6_3,56.47866
L_1_6_4,62.65854
L_1_6_5,61.77704
L_1_6_6,61.95976
L_1_6_7,66.02772
L_1_6_8,65.84078
L_1_6_9,71.79266
L_1_6_10,68.56898
L_1_6_11,138.3963
L_2_9_1,45.50293
L_2_9_2,52.7459
L_2_9_3,61.3216
L_2_9_4,61.43408
L_2_9_5,64.85252
L_2_9_6,66.19634
L_2_9_7,65.91062
L_2_9_8,63.14676
L_2_9_9,73.86896
L_2_9_10,80.90736
L_2_9_11,55.55327
L_2_10_1,36.90699
L_2_10_2,60.13552
L_2_10_3,64.13156
L_2_10_4,66.4422
L_2_10_5,67.0904
L_2_10_6,76.16108
L_2_10_7,73.99836
L_2_10_8,79.13964
L_2_10_9,73.18546
L_2_10_10,76.78426
L_2_10_11,57.70518
L_2_11_1,69.49652
