ID,Tube,Initial,Final
L_1_11_9,12.47847,1.75593,14.03036
L_1_11_10,12.5257,1.7589,14.10542
L_1_12_1,12.49215,1.50992,13.60973
L_1_12_2,12.46816,1.6665,13.92761
L_1_12_3,12.48577,1.69416,14.03676
L_1_12_4,12.52811,1.69962,14.03681
L_1_12_5,12.47687,1.67406,13.96991
L_1_12_6,12.69696,1.71715,14.2266
L_1_12_7,12.55756,1.69305,14.0672
L_1_12_8,12.59613,1.67263,14.06629
L_1_12_9,12.6102,1.94692,14.36118
L_1_12_10,12.50575,1.67171,14.00211
L_1_12_11,12.50044,1.67426,14.0014
L_2_15_1,12.51339,1.75441,14.03987
L_2_15_2,12.43771,1.97142,14.18157
L_2_15_3,12.54811,1.62027,13.98183
L_2_15_4,12.51665,1.68193,14.0097
L_2_15_5,12.5039,1.90555,14.1919
L_2_15_6,12.65947,1.6384,14.08842
L_2_15_7,12.69915,1.72697,14.2222
L_2_15_8,12.5047,1.79622,14.08936
L_2_15_9,12.51162,1.66923,14.00036
L_2_15_10,12.45395,1.53397,13.80501
L_2_16_1,12.50602,1.91747,14.16913
L_2_16_2,12.52745,1.78616,14.1212
L_2_16_3,12.4914,1.69452,14.00526
L_2_16_4,12.64305,1.80864,14.26535
L_2_16_5,12.55595,1.58884,13.98332
L_2_16_6,12.50236,1.73386,14.05988
L_2_16_7,12.49719,1.69957,14.02094
L_2_16_8,12.51631,1.90427,14.24205
L_2_16_9,12.48647,1.69621,14.00191
L_2_16_10,12.46322,1.57631,13.84343
L_2_17_1,12.44952,1.67944,13.83017
L_2_17_2,12.50461,1.83425,14.1054
L_2_17_3,12.5064,1.7982,14.08901
L_2_17_4,12.40189,1.68313,13.88424
L_2_17_5,12.54569,1.66212,14.01371
L_2_17_6,12.4866,1.67354,13.97919
L_2_17_7,12.48946,1.7461,14.03415
L_2_17_8,12.67004,1.71496,14.1924
L_2_17_9,12.45713,1.83629,14.09617
L_2_17_10,12.378,1.77477,13.94717
L_2_18_1,12.51903,1.76537,13.98657
L_2_18_2,12.65962,1.83518,14.26239
L_2_18_3,12.55276,1.77295,14.12902
L_2_18_4,12.43354,1.91178,14.13273
L_2_18_5,12.46584,1.86523,14.11586
