ID,Tank,Core,Date,Mass
K1.1,1,1,18.04.24,9.99083
K1.2,1,2,18.04.24,9.96625
K1.3,1,3,18.04.24,10.11147
K1.4,1,4,18.04.24,9.93214
K1.5,1,5,18.04.24,10.11077
K1.6,1,6,18.04.24,9.97246
K1.7,1,7,18.04.24,10.09204
K1.8,1,8,18.04.24,10.05729
K1.9,1,9,18.04.24,9.99584
K1.10,1,10,18.04.24,10.01239
K1.11,1,11,18.04.24,10.06705
K1.12,1,12,18.04.24,10.15609
K1.13,1,13,18.04.24,10.08247
K1.14,1,14,18.04.24,10.00486
K1.15,1,15,18.04.24,10.02708
K2.1,2,1,18.04.24,9.91411
K2.2,2,2,18.04.24,10.0102
K2.3,2,3,18.04.24,10.03768
K2.4,2,4,18.04.24,10.1283
K2.5,2,5,18.04.24,9.98794
K2.6,2,6,18.04.24,9.97209
K2.7,2,7,18.04.24,10.13676
K2.8,2,8,18.04.24,9.96719
K2.9,2,9,18.04.24,10.04652
K2.10,2,10,18.04.24,9.93781
K2.11,2,11,18.04.24,10.02991
K2.12,2,12,18.04.24,10.09164
K2.13,2,13,18.04.24,10.12561
K2.14,2,14,18.04.24,9.99553
K2.15,2,15,18.04.24,10.14544
