Species,Sediment,Load,n,k,t0.5,r,g_C_m2
Ecklonia radiata,Coarse sand,10,80000,0.53 ± 0.46 (0.43),2 ± 1.4 (1.6),7.3 ± 0.82,425 ± 5.6
Ecklonia radiata,Fine sand,10,80000,0.54 ± 0.46 (0.44),2 ± 1.5 (1.6),7.8 ± 0.94,425 ± 5.6
Laminaria hyperborea,Silt,1,80000,0.73 ± 0.91 (0.56),1.2 ± 0.42 (1.2),14 ± 1.3,46 ± 0.62
Laminaria hyperborea,Silt,7.5,80000,0.7 ± 0.43 (0.58),1.2 ± 0.36 (1.2),14 ± 1,346 ± 4.7
Laminaria hyperborea,Silt,15,80000,0.76 ± 0.62 (0.6),1.2 ± 0.49 (1.2),15 ± 1.5,692 ± 9.4
Laminaria ochroleuca,Silt,1,80000,0.57 ± 0.93 (0.38),1.7 ± 0.63 (1.8),14 ± 1.5,35 ± 1.1
Laminaria ochroleuca,Silt,7.5,80000,0.5 ± 0.39 (0.41),1.6 ± 0.46 (1.7),14 ± 1.2,262 ± 7.9
Laminaria ochroleuca,Silt,15,80000,0.52 ± 0.48 (0.43),1.6 ± 0.49 (1.6),15 ± 1.5,524 ± 16
