Sediment,log_Size,Phi
Coarse sand,2.7 ± 0.17 (21),0.99 ± 0.56 (21)
Fine sand,2.3 ± 0.62 (21),2.4 ± 2.1 (21)
Silt,1.4 ± 0.58 (3),5.2 ± 1.9 (3)
