Sediment,Cinorg,Corg,d13C
Coarse sand,6.8 ± 0.42 (21),0.059 ± 0.012 (10),-20 ± 0.29 (10)
Fine sand,9 ± 1 (84),0.82 ± 0.34 (35),-17 ± 0.83 (35)
Silt,1.3 ± 0.13 (62),2.8 ± 0.27 (61),-26 ± 0.28 (61)
